exercise_id,exercise_name,type,target_muscles,primary_attributes,intensity_level,equipment_needed,category,description,target_muscles_list,primary_attributes_list,m_arm,m_arms,m_back,m_chest,m_core,m_full body,m_glutes,m_grip,m_hamstrings,m_hips,m_legs,m_lower back,m_shoulders,a_agility,a_balance,a_cardiovascular,a_control,a_coordination,a_endurance,a_explosiveness,a_power,a_speed,a_stability,a_stamina,a_strength,intensity_norm,features_text
1,front squat,Weight,"legs, core",strength,9,Barbell,power,builds leg drive and core stability crucial for scrum performance,"['legs', 'core']",['strength'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,"legs, core strength power builds leg drive and core stability crucial for scrum performance"
2,back squat,Weight,"legs, core",strength,9,Barbell,power,enhances lower body strength and explosiveness for tackling and scrums,"['legs', 'core']",['strength'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,"legs, core strength power enhances lower body strength and explosiveness for tackling and scrums"
3,deadlift,Weight,"legs, back, core",strength,9,Barbell,power,develops full body pulling power and posterior chain for stability in contact,"['legs', 'back', 'core']",['strength'],0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,"legs, back, core strength power develops full body pulling power and posterior chain for stability in contact"
4,sled push,Weight,"legs, core, shoulders",explosiveness,8,Sled,power,simulates scrum engagement and improves driving force,"['legs', 'core', 'shoulders']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core, shoulders explosiveness power simulates scrum engagement and improves driving force"
5,power clean,Weight,"legs, core, shoulders",explosiveness,8,Barbell,power,builds total body explosive power for tackles and acceleration,"['legs', 'core', 'shoulders']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core, shoulders explosiveness power builds total body explosive power for tackles and acceleration"
6,bench press,Weight,"chest, shoulders, arm",strength,8,Barbell,upper body,improves upper body pushing power used in mauls and tackles,"['chest', 'shoulders', 'arm']",['strength'],1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.75,"chest, shoulders, arm strength upper body improves upper body pushing power used in mauls and tackles"
7,push press,Weight,"shoulders, arms, core",strength,8,Barbell,upper body,develops overhead strength and explosive drive from the legs,"['shoulders', 'arms', 'core']",['strength'],0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.75,"shoulders, arms, core strength upper body develops overhead strength and explosive drive from the legs"
8,plank,Bodyweight,core,stability,5,None,core,strengthens core for better body control during scrums and tackles,['core'],['stability'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,core stability core strengthens core for better body control during scrums and tackles
9,side plank,Bodyweight,core,stability,5,None,core,improves lateral core strength for better balance and stability,['core'],['stability'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,core stability core improves lateral core strength for better balance and stability
10,jump squat,Bodyweight,"legs, core",explosiveness,8,None,conditioning,boosts leg power and jump ability for lineouts and sprints,"['legs', 'core']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core explosiveness conditioning boosts leg power and jump ability for lineouts and sprints"
11,burpee,Bodyweight,full body,endurance,7,None,conditioning,increases cardiovascular fitness and full body coordination,['full body'],['endurance'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,full body endurance conditioning increases cardiovascular fitness and full body coordination
12,sprint,Bodyweight,"legs, core",speed,9,None,conditioning,improves acceleration and top end sprint speed,"['legs', 'core']",['speed'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,"legs, core speed conditioning improves acceleration and top end sprint speed"
13,broad jump,Bodyweight,"legs, core",explosiveness,8,None,conditioning,builds lower body power and horizontal force generation,"['legs', 'core']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core explosiveness conditioning builds lower body power and horizontal force generation"
14,lateral shuffle,Bodyweight,"legs, core",agility,6,None,skill,enhances lateral quickness and reaction speed,"['legs', 'core']",['agility'],0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,"legs, core agility skill enhances lateral quickness and reaction speed"
15,push up,Bodyweight,"chest, arms, core",strength,6,None,upper body,builds upper body strength and core stability,"['chest', 'arms', 'core']",['strength'],0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,"chest, arms, core strength upper body builds upper body strength and core stability"
16,pull up,Bodyweight,"back, arms, core",strength,7,None,upper body,improves pulling strength for tackling and grappling,"['back', 'arms', 'core']",['strength'],0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,"back, arms, core strength upper body improves pulling strength for tackling and grappling"
17,dumbbell lunge,Weight,"legs, core",strength,7,Dumbell,lower body,builds unilateral leg strength and balance,"['legs', 'core']",['strength'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,"legs, core strength lower body builds unilateral leg strength and balance"
18,romanian deadlift,Weight,"hamstrings, glutes, core",strength,8,Barbell,power,strengthens posterior chain and improves hip drive,"['hamstrings', 'glutes', 'core']",['strength'],0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,"hamstrings, glutes, core strength power strengthens posterior chain and improves hip drive"
19,medicine ball slam,Weight,"core, shoulders, arms",explosiveness,7,Medicine Ball,conditioning,improves explosive coordination and full body power,"['core', 'shoulders', 'arms']",['explosiveness'],0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5,"core, shoulders, arms explosiveness conditioning improves explosive coordination and full body power"
20,battle rope wave,Weight,"shoulders, arms, core",endurance,7,Battle Rope,conditioning,develops shoulder endurance and cardiovascular capacity,"['shoulders', 'arms', 'core']",['endurance'],0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"shoulders, arms, core endurance conditioning develops shoulder endurance and cardiovascular capacity"
21,box jump,Bodyweight,"legs, core",explosiveness,8,Box,conditioning,increases lower body explosiveness and coordination,"['legs', 'core']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core explosiveness conditioning increases lower body explosiveness and coordination"
22,farmer s carry,Weight,"grip, shoulders, core",strength,7,Dumbell,conditioning,"builds grip, posture, and core stability under load","['grip', 'shoulders', 'core']",['strength'],0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,"grip, shoulders, core strength conditioning builds grip, posture, and core stability under load"
23,shoulder press,Weight,"shoulders, arms",strength,7,Dumbell,upper body,builds pressing strength for tackling and rucking,"['shoulders', 'arms']",['strength'],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,"shoulders, arms strength upper body builds pressing strength for tackling and rucking"
24,russian twist,Bodyweight,core,stability,6,None,core,strengthens rotational core control for passing and tackling,['core'],['stability'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,core stability core strengthens rotational core control for passing and tackling
25,mountain climber,Bodyweight,"core, legs",endurance,7,None,conditioning,improves agility and core endurance under fatigue,"['core', 'legs']",['endurance'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"core, legs endurance conditioning improves agility and core endurance under fatigue"
26,barbell row,Weight,"back, shoulders, core",strength,8,Barbell,upper body,builds back strength for tackling and upper body stability,"['back', 'shoulders', 'core']",['strength'],0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.75,"back, shoulders, core strength upper body builds back strength for tackling and upper body stability"
27,jump lunge,Bodyweight,"legs, core",explosiveness,8,None,conditioning,boosts unilateral leg power for sprint take offs,"['legs', 'core']",['explosiveness'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"legs, core explosiveness conditioning boosts unilateral leg power for sprint take offs"
28,overhead squat,Weight,"legs, core, shoulders",stability,9,Barbell,power,enhances full body stability and coordination under load,"['legs', 'core', 'shoulders']",['stability'],0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,"legs, core, shoulders stability power enhances full body stability and coordination under load"
29,wall sit,Bodyweight,"legs, core",endurance,6,None,conditioning,improves muscular endurance in lower body,"['legs', 'core']",['endurance'],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,"legs, core endurance conditioning improves muscular endurance in lower body"
30,kettlebell swing,Weight,"hips, glutes, core",explosiveness,8,Kettleball,conditioning,builds explosive hip drive and posterior strength,"['hips', 'glutes', 'core']",['explosiveness'],0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,"hips, glutes, core explosiveness conditioning builds explosive hip drive and posterior strength"
